"","DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","CAUSE_OF_DEATH","CAUSE_OF_DEATH_NAME","CAUSE_OF_DEATH_CODE","CAUSE_OF_DEATH_TYPE","CAUSE_OF_DEATH_TYPECODE","CAUSE_OF_DEATH_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,0,"A00-R99,U00-Y89 All causes, all ages","Total","cause of death",1001,0,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",506790,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d98a99d0d0d1d20100",0,1485
"2",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,0,"A00-R99,U00-Y89 All causes, all ages","Total","cause of death",1001,0,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",245585,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d98a99d1d0d1d20100",1,1485
"3",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,0,"A00-R99,U00-Y89 All causes, all ages","Total","cause of death",1001,0,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",261205,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d98a99d2d0d1d20100",2,1485
"4",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12430,"X30 Exposure to excessive natural heat","X30","ICD-10 three digit",1005,1,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",1,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12430d0d0d1d20100",3,1485
"5",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12430,"X30 Exposure to excessive natural heat","X30","ICD-10 three digit",1005,1,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",1,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12430d1d0d1d20100",4,1485
"6",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12430,"X30 Exposure to excessive natural heat","X30","ICD-10 three digit",1005,1,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12430d2d0d1d20100",5,1485
"7",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12431,"X31 Exposure to excessive natural cold","X31","ICD-10 three digit",1005,2,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",91,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12431d0d0d1d20100",6,1485
"8",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12431,"X31 Exposure to excessive natural cold","X31","ICD-10 three digit",1005,2,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",51,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12431d1d0d1d20100",7,1485
"9",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12431,"X31 Exposure to excessive natural cold","X31","ICD-10 three digit",1005,2,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",40,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12431d2d0d1d20100",8,1485
"10",2013,2013,2013,"date",0,0,2092957715,"Total mortality","2092957715","countries",499,0,12432,"X32 Exposure to sunlight","X32","ICD-10 three digit",1005,3,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957715d12432d0d0d1d20100",9,1485
