"Year","Gas","Observation status","Unit multiplier","Units","Value"
"2018","Hydrofluorocarbons (HFC)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",13.1359300233207
"2018","Methane (CH4)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",53.6166054984211
"2018","Net CO2 emissions (emissions minus removals)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",374.024093513544
"2018","Nitrogen trifluoride (NF3)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.00036063767565894
"2018","Nitrous oxide (N2O)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",22.0064976177583
"2018","Perfluorocarbons (PFC)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.144557561549293
"2018","Sulphur hexafluoride (SF6)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.535190372850355
"2018","","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",463.463235225119
"2019","Hydrofluorocarbons (HFC)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",12.5034608726076
"2019","Methane (CH4)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",53.3551237166895
"2019","Net CO2 emissions (emissions minus removals)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",359.324677772558
"2019","Nitrogen trifluoride (NF3)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.00036063767565894
"2019","Nitrous oxide (N2O)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",22.008597891644
"2019","Perfluorocarbons (PFC)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.210717666540684
"2019","Sulphur hexafluoride (SF6)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.474497663914477
"2019","","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",447.87743622163
"2020","Hydrofluorocarbons (HFC)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",11.6777251365617
"2020","Methane (CH4)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",51.2622036565041
"2020","Net CO2 emissions (emissions minus removals)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",321.087656184015
"2020","Nitrogen trifluoride (NF3)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.00036063767565894
"2020","Nitrous oxide (N2O)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",20.9188871370184
"2020","Perfluorocarbons (PFC)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.159792955068927
"2020","Sulphur hexafluoride (SF6)","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",0.406943878625213
"2020","","Normal value","Units","Million tonnes carbon dioxide equivalent (MtCO2e)",405.513569585469
