Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Column not used,Time period Sortable,New data,Compared to goal,Time period range
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E10000032,West Sussex,County,Persons,15-64 yrs,,,2018/19,52.30789067,26.4612326,65.26434407,,,1352.333333,2585.333333,,,Not compared,Not compared,20180000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E10000034,Worcestershire,County,Persons,15-64 yrs,,,2018/19,54.61674677,40.64516129,64.13076077,,,1439.333333,2635.333333,,,Not compared,Not compared,20180000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),,,E92000001,England,England,Persons,15-64 yrs,,,2019/20,52.14774596,51.57598223,53.7594747,,,159112.3333,305118,,,Not compared,Not compared,20190000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E06000001,Hartlepool,UA,Persons,15-64 yrs,,,2019/20,48.77014419,40.39473682,59.05084746,,,575,1179,,,Similar,Not compared,20190000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E06000002,Middlesbrough,UA,Persons,15-64 yrs,,,2019/20,41.07615406,34.12228797,46.91390727,,,931.333333,2267,,,Better,Not compared,20190000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E10000031,Warwickshire,County,Persons,15-64 yrs,,,2019/20,49.85700667,39.22588099,59.2879257,,,1046,2098,,,Similar,Not compared,20190000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E10000032,West Sussex,County,Persons,15-64 yrs,,,2019/20,52.61732851,26.93836975,65.48971734,,,1360.333333,2585,,,Similar,Not compared,20190000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E10000034,Worcestershire,County,Persons,15-64 yrs,,,2019/20,53.25069567,38.85856079,63.05108467,,,1403.333333,2635,,,Similar,Not compared,20190000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),,,E92000001,England,England,Persons,15-64 yrs,,,2020/21,52.10317309,51.53087678,53.7164031,,,158976.3333,305118.3333,,Cannot be calculated,Not compared,Not compared,20200000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E06000001,Hartlepool,UA,Persons,15-64 yrs,,,2020/21,45.37743851,36.44736842,56.33898305,,,535,1179,,Cannot be calculated,Similar,Not compared,20200000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E06000002,Middlesbrough,UA,Persons,15-64 yrs,,,2020/21,41.7377242,34.86193294,47.50993377,,,946.3333333,2267.333333,,Cannot be calculated,Better,Not compared,20200000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E06000003,Redcar and Cleveland,UA,Persons,15-64 yrs,,,2020/21,46.41192917,36.32336656,58.42371656,,,498,1073,,Cannot be calculated,Similar,Not compared,20200000,,,1y
93517,Proportion of opiates and/or crack cocaine users (i.e. OCU) not in treatment (%),E92000001,England,E06000004,Stockton-on-Tees,UA,Persons,15-64 yrs,,,2020/21,46.17793332,39.87654321,57.44866754,,,835.6666667,1809.666667,,Cannot be calculated,Similar,Not compared,20200000,,,1y
