"Year","Series","Industry sector","Unit measure","Unit multiplier","Observation status","Value"
"2018","Energy intensity level of primary energy","","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.6"
"2019","Energy intensity level of primary energy","","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.5"
"2020","Energy intensity level of primary energy","","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.2999999999999998"
"2018","Energy intensity level of primary energy","Accommodation and food services","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2"
"2019","Energy intensity level of primary energy","Accommodation and food services","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.1"
"2020","Energy intensity level of primary energy","Accommodation and food services","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.9"
"2018","Energy intensity level of primary energy","Activities of households as employers; undifferentiated goods and services-producing activities of households for own use","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.1"
"2019","Energy intensity level of primary energy","Activities of households as employers; undifferentiated goods and services-producing activities of households for own use","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.1"
"2020","Energy intensity level of primary energy","Activities of households as employers; undifferentiated goods and services-producing activities of households for own use","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.1"
"2018","Energy intensity level of primary energy","Administrative and support service activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.5"
"2019","Energy intensity level of primary energy","Administrative and support service activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.5"
"2020","Energy intensity level of primary energy","Administrative and support service activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.5"
"2018","Energy intensity level of primary energy","Agriculture, forestry and fishing","Terajoules per million pounds (TJ/£ million)","Units","Normal value","11.8"
"2019","Energy intensity level of primary energy","Agriculture, forestry and fishing","Terajoules per million pounds (TJ/£ million)","Units","Normal value","9.9"
"2020","Energy intensity level of primary energy","Agriculture, forestry and fishing","Terajoules per million pounds (TJ/£ million)","Units","Normal value","10.6"
"2018","Energy intensity level of primary energy","Arts, entertainment and recreation","Terajoules per million pounds (TJ/£ million)","Units","Normal value","1.1000000000000001"
"2019","Energy intensity level of primary energy","Arts, entertainment and recreation","Terajoules per million pounds (TJ/£ million)","Units","Normal value","1"
"2020","Energy intensity level of primary energy","Arts, entertainment and recreation","Terajoules per million pounds (TJ/£ million)","Units","Normal value","1.1000000000000001"
"2018","Energy intensity level of primary energy","Construction","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.1"
"2019","Energy intensity level of primary energy","Construction","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2"
"2020","Energy intensity level of primary energy","Construction","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2.1"
"2018","Energy intensity level of primary energy","Education","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.6"
"2019","Energy intensity level of primary energy","Education","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.6"
"2020","Energy intensity level of primary energy","Education","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.6"
"2018","Energy intensity level of primary energy","Electricity, gas, steam and air conditioning supply","Terajoules per million pounds (TJ/£ million)","Units","Normal value","12.1"
"2019","Energy intensity level of primary energy","Electricity, gas, steam and air conditioning supply","Terajoules per million pounds (TJ/£ million)","Units","Normal value","11"
"2020","Energy intensity level of primary energy","Electricity, gas, steam and air conditioning supply","Terajoules per million pounds (TJ/£ million)","Units","Normal value","11"
"2018","Energy intensity level of primary energy","Financial and insurance activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.2"
"2019","Energy intensity level of primary energy","Financial and insurance activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.2"
"2020","Energy intensity level of primary energy","Financial and insurance activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.2"
"2018","Energy intensity level of primary energy","Human health and social work activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.9"
"2019","Energy intensity level of primary energy","Human health and social work activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.8"
"2020","Energy intensity level of primary energy","Human health and social work activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.8"
"2018","Energy intensity level of primary energy","Information and communication","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.4"
"2019","Energy intensity level of primary energy","Information and communication","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.3"
"2020","Energy intensity level of primary energy","Information and communication","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.3"
"2018","Energy intensity level of primary energy","Manufacturing","Terajoules per million pounds (TJ/£ million)","Units","Normal value","8.6999999999999993"
"2019","Energy intensity level of primary energy","Manufacturing","Terajoules per million pounds (TJ/£ million)","Units","Normal value","8"
"2020","Energy intensity level of primary energy","Manufacturing","Terajoules per million pounds (TJ/£ million)","Units","Normal value","8.4"
